CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N,Color
LB_17844_7,7.5,3.93,6.6,5.01,10.12,10.93,8.79,14.6,13.41,13.72,17.35,19.46,9.98,11.35,15.64,18.11,16.76,13.38,3.63,9.75,15.37,12.09,4.13,1.69,4.44,4.41,4.84,55.16,3.39,4.39,3.16,5.25,8.19,4.85,7.33,3.3,9.06,3.16,4.72,3.11,15.83,18,#800080
LB_17844_8,7.26,3.85,5.55,4.21,8.84,10.24,8.06,10.69,11.75,10.83,14.57,15.54,7.85,9.75,12.76,14.81,13.72,12.82,2.47,8.9,14.27,9.86,3.63,1.85,3.94,4.41,5.53,46.78,3.02,4.53,3.12,5.02,7.6,4.62,7.02,3.48,8.79,3.17,4.15,2.89,14.21,20,#800080
LB_17844_9,8.03,4.45,7.14,5.18,10.91,12.68,9.67,13.18,13.15,14.03,17.96,19.19,10.03,12.06,15.47,18.31,15.52,14.76,3.43,10.98,16.84,12.1,4.29,1.92,3.57,5.06,5.56,56.66,3.43,5.37,3.77,5.68,8.83,5.77,8.31,4.28,10.66,3.39,4.91,3.73,17.16,23,#800080
LB_17844_10,8.48,3.99,6.56,6.05,10.11,12.51,8.91,11.35,12.68,12.32,16.5,16.98,8.22,10.68,13.17,16.9,13.98,13.92,3.29,9.5,15.77,11.26,4.21,1.99,4.65,5.04,5.66,51.21,3.54,4.45,3.32,4.89,8.03,5.35,7.69,3.51,9.49,3.22,4.9,2.96,16.27,22,#800080
LB_17844_11,7.25,3.57,6.23,4.65,10.44,11.57,8,13.64,12.92,13.31,16.91,19.53,9,10.44,16.1,18.6,16.75,13.31,3.46,9.67,15.55,10.76,4.98,1.88,4.91,6.17,5.62,54.52,2.79,4.51,3.29,6.08,8.43,4.98,7.32,3.1,6.63,3.23,4.62,3.62,15.31,23,#800080
LB_17844_12,8.91,4.3,7.24,5.85,9.29,13.77,9.66,13.93,14.25,13.4,17.82,19.53,9.17,11,15.03,17.32,17.4,14.22,3.41,9.83,16.14,10.58,2.95,2.23,3.65,4.59,4.81,54.58,3.96,5.56,3.86,6.47,8.71,5.62,8.6,4.27,10.87,3.88,5.3,3.64,17.87,22,#800080
LB_17844_13,6.65,4.58,7.8,6.75,11.93,12.79,11.12,14.45,13.79,15.49,19.24,19.74,10.42,11.16,15.16,18.3,16.25,15.77,3.06,11.6,16.6,13.16,3.81,2.12,4.11,5.02,5.37,58.82,4,5.64,4.04,6.08,9.79,6.08,9.46,4.72,11.28,3.88,5.17,4.05,18.17,23,#800080
LB_17844_14,8.56,4.59,7.27,6.74,11.13,12.92,10.3,14.1,14.46,13.96,13.2,19.64,9.49,11.86,14.09,18.27,16.36,14.57,3.47,10.36,14.96,12.05,3.93,1.94,4.59,4.18,5.61,55.25,3.75,5.12,3.85,5.5,9.25,5.6,8.37,4.23,10.57,3.84,4.85,3.66,17.47,23,#800080
LB_17844_15,8.98,3.94,7.05,3.8,11.43,12.48,9.21,13.7,13.95,13.4,18.07,19.01,10.87,12.98,17.83,21.17,17.8,16.39,3.26,10.44,16.89,11.82,4.07,1.85,3.47,4.85,4.88,58.83,3.91,5.19,3.83,5.85,8.61,6.03,8.12,4.35,10.79,3.83,4.83,3.64,17.41,23,#800080
LB_17854_1,8.14,3.58,6.19,6.04,10.72,11.5,9.29,14.21,14.22,14.68,18.29,20.46,10.28,13.54,18.39,20.99,17.86,16.48,3.04,10.1,18.83,12.08,3.86,2.06,2.82,4.68,3.83,56.91,3.55,4.46,3.36,5.46,8.55,5.21,7.51,3.72,9.7,3.31,4.89,3.69,16.7,22,#0000FF
